CPU_Zscore,Memory_Zscore,Disk_Zscore,Network_Zscore,SSD_Health_Zscore,Memory_Pressure,CPU_Efficiency,System_Saturation,SSD_Wear,Label
-0.9542664947349337,-2.046823629071382,-0.24153453286208051,-0.37496776456355313,0,78.85900000000001,0.023920265780730896,0.74556,0.0,0
-0.7428813484488508,-2.0663732215133384,-0.3139980066593067,-0.37469592620387004,0,74.45970000000001,0.027242524916943518,0.7533,0.0,0
-0.7003717315286362,-2.0492866912626293,-0.26349048612253184,-0.37469592620387004,0,77.3364,0.027906976744186046,0.75618,0.0,0
-0.8896245996040802,-2.032523563926859,-0.26585569347943866,-0.37469592620387004,0,77.2026,0.024916943521594685,0.74714,0.0,0
-0.7430526071694658,-2.0160731419999154,-0.34286326592632005,-0.37469592620387004,0,72.8541,0.027242524916943518,0.7528,0.0,0
-0.8861370121692609,-1.9990955700049793,-0.2873378191874252,-0.37469592620387004,0,75.93150000000001,0.024916943521594685,0.7467,0.0,0
-0.9230249609668906,-1.9471221546539113,-0.2597904980148368,-0.3026267167377872,0,77.184,0.02425249169435216,0.74608,0.0,0
-1.043644515140686,-1.9661674153749018,-0.3364045845464881,-0.3749677645635531,0,72.78720000000001,0.022259136212624587,0.73778,0.0,0
-0.9533682048660593,-1.9145232186753245,-0.27426753683773264,-0.37469592620387004,0,75.911,0.023588039867109632,0.7437,0.0,0
-0.9053495066218361,-1.8986100148841176,1.1298435009851806,-0.37469592620387004,0,124.08399999999999,0.02425249169435216,0.7679199999999999,0.0,0
-0.9627889267209684,-1.8827808339927679,-0.25671704278513885,-0.37469592620387004,0,76.514,0.023255813953488372,0.74284,0.0,0
-0.7896823186920228,-1.8650442292823035,-0.3054751128745554,-0.37469592620387004,0,73.566,0.025913621262458473,0.74998,0.0,0
-0.7221159696402212,-1.8478249841042966,-0.2621199213944871,-0.37469592620387004,0,75.643,0.026910299003322258,0.75358,0.0,0
-0.5715775768569202,-1.9328344927665013,-0.23249864016402078,-0.37469592620387004,0,76.3715,0.0292358803986711,0.75792,0.0,0
-0.3565427130829324,-1.846825855492738,0.1269966815515032,-0.37469592620387004,0,76.1991,0.03245033112582782,0.77512,0.0,0
-0.8567559399597308,-1.7964116354094644,-0.30031446853763777,-0.37469592620387004,0,72.628,0.024503311258278145,0.74574,0.0,0
-0.7459477825215889,-1.7802160947469585,-0.20036412189989555,-0.37469592620387004,0,77.251,0.026158940397350994,0.75208,0.0,0
-0.8667369054914283,-1.7976151796550386,-0.225039152606596,-0.374424156734471,0,75.7977,0.024172185430463577,0.74468,0.0,0
2.3369815364038313,-1.4503819498765746,3.2546903905877573,-0.302360805315092,0,90.5107,0.07174603174603175,0.95842,0.0,0
3.904687802789829,-0.8080958969341512,4.564351760453691,4.8502685049697405,0,143.64839999999998,0.09592476489028214,1.07916,0.0,0
4.431193162845428,-1.6777615879108831,6.135633365921406,11.3071943763725,0,229.488,0.1059190031152648,1.11766,0.0,0
