cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,label
11.5,1200.0,74.0,4109.79,3.8,0.04,0.7,0.02,0.0,301,0
10.6,1200.0,73.8,4143.76,3.8,0.02,0.49,0.0,0.0,301,0
10.5,1200.0,73.4,4201.43,3.8,0.02,0.68,0.0,0.0,301,0
12.5,1200.0,74.6,4007.63,3.8,0.49,1.07,0.0,0.01,304,0
9.3,1200.0,73.5,4185.29,3.8,0.1,0.58,0.0,0.0,304,0
8.9,1200.0,73.5,4194.62,3.8,0.07,0.85,0.0,0.0,303,0
8.4,1200.0,73.4,4198.79,3.8,0.01,0.7,0.0,0.0,303,0
9.5,1200.0,73.4,4206.48,3.8,0.05,0.79,0.0,0.0,302,0
8.8,1200.0,73.4,4212.02,3.8,0.0,0.66,0.0,0.0,301,0
9.0,1200.0,73.4,4209.29,3.8,0.02,0.63,0.0,0.0,301,0
8.8,1200.0,73.4,4211.23,3.8,0.01,0.43,0.0,0.0,300,0
9.4,1200.0,73.4,4206.57,3.8,0.01,0.54,0.0,0.0,300,0
10.1,1200.0,72.5,4341.26,3.8,0.03,1.35,0.0,0.0,300,0
8.6,1200.0,72.5,4341.73,3.8,0.01,0.72,0.0,0.0,300,0
13.8,1200.0,72.6,4328.42,3.8,0.16,1.04,0.0,0.01,300,0
9.4,1200.0,72.5,4343.86,3.8,0.02,0.68,0.0,0.0,300,0
8.5,1200.0,72.5,4344.96,3.8,0.01,0.6,0.0,0.0,300,0
9.0,1200.0,72.5,4347.6,3.8,0.02,0.89,0.0,0.0,300,0
9.4,1200.0,72.5,4338.92,3.8,0.01,0.73,0.0,0.0,300,0
10.2,1200.0,72.6,4323.07,3.8,0.97,0.59,0.0,0.01,302,0
9.7,1200.0,72.8,4301.55,3.8,0.03,0.85,0.0,0.01,302,0
8.9,1200.0,72.8,4300.32,3.8,0.07,3.11,0.0,0.0,304,0
11.0,1200.0,73.2,4230.46,3.8,0.07,0.69,0.0,0.0,304,0
9.8,1200.0,73.2,4237.5,3.8,0.03,0.84,0.0,0.01,304,0
10.3,1200.0,73.2,4232.47,3.8,0.24,3.68,0.0,0.0,304,0
10.6,1200.0,72.7,4308.52,3.8,0.12,3.91,0.0,0.0,304,0
14.1,1200.0,73.3,4224.21,3.8,0.22,0.88,0.0,0.0,305,0
10.1,1200.0,72.9,4277.73,3.8,0.02,0.51,0.0,0.0,304,0
17.3,1200.0,73.4,4206.57,3.8,0.14,1.33,0.03,0.85,302,0
21.5,1200.0,76.7,3688.43,3.8,25.26,47.88,0.02,0.44,303,0
21.1,1200.0,74.2,4080.71,3.8,28.48,14.25,0.01,0.55,305,0
15.1,1200.0,73.1,4252.7,3.8,2.83,5.86,0.0,0.27,305,0
11.6,1200.0,72.9,4281.61,3.8,0.2,4.96,0.0,0.12,303,0
12.0,1200.0,73.0,4265.03,3.8,0.14,3.79,0.0,0.16,302,0
14.2,1200.0,73.6,4170.4,3.8,0.0,3.03,0.0,0.0,302,0
11.5,1200.0,72.5,4348.84,3.8,0.01,1.59,0.0,0.0,302,0
10.4,1200.0,72.4,4364.74,3.8,0.04,1.68,0.0,0.0,302,0
9.8,1200.0,72.3,4385.78,3.8,0.07,2.43,0.0,0.0,302,0
9.6,1200.0,72.1,4404.89,3.8,0.01,0.65,0.0,0.27,302,0
9.9,1200.0,72.0,4418.21,3.8,0.01,0.48,0.0,0.26,302,0
10.2,1200.0,72.0,4427.1,3.8,0.01,0.65,0.0,0.19,301,0
10.5,1200.0,72.4,4359.08,3.8,0.04,0.72,0.0,0.31,303,0
10.5,1200.0,72.6,4327.2,3.8,0.0,0.72,0.0,0.23,302,0
10.0,1200.0,72.1,4408.37,3.8,0.01,0.71,0.0,0.33,302,0
10.9,1200.0,72.2,4400.59,3.8,0.01,0.56,0.0,0.41,302,0
10.4,1200.0,72.0,4423.3,3.8,0.18,3.28,0.0,0.0,302,0
11.5,1200.0,71.8,4454.65,3.8,0.0,0.77,0.0,0.0,301,0
8.7,1200.0,71.4,4517.14,3.8,0.0,0.53,0.0,0.0,301,0
10.0,1200.0,70.6,4639.79,3.8,0.08,0.84,0.0,0.0,303,0
8.3,1200.0,70.7,4632.52,3.8,0.0,0.85,0.0,0.0,303,0
10.6,1200.0,70.7,4630.89,3.8,0.0,1.39,0.0,0.0,302,0
10.4,1200.0,70.9,4599.29,3.8,0.0,0.76,0.0,0.0,302,0
11.7,1200.0,71.1,4572.66,3.8,0.0,1.13,0.01,0.02,302,0
9.1,1200.0,71.0,4577.93,3.8,0.0,0.99,0.0,0.0,302,0
7.7,1200.0,70.9,4595.95,3.8,0.01,1.0,0.0,0.0,302,0
8.4,1200.0,70.8,4614.02,3.8,0.01,1.47,0.0,0.0,302,0
8.3,1200.0,70.8,4614.44,3.8,0.0,1.39,0.0,0.0,302,0
8.1,1200.0,70.8,4609.68,3.8,0.0,0.97,0.0,0.02,302,0
9.0,1200.0,70.9,4602.11,3.8,0.0,1.13,0.0,0.0,302,0
9.2,1200.0,70.9,4603.41,3.8,0.0,1.32,0.0,0.01,302,0
8.3,1200.0,70.9,4601.67,3.8,0.0,0.85,0.0,0.01,302,0
9.3,1200.0,70.8,4608.62,3.8,0.0,1.49,0.0,0.0,302,0
8.4,1200.0,70.9,4597.22,3.8,0.03,1.09,0.0,0.0,302,0
7.8,1200.0,70.9,4600.86,3.8,0.02,1.27,0.0,0.0,302,0
8.2,1200.0,70.9,4597.16,3.8,0.0,0.9,0.0,0.0,302,0
8.2,1200.0,70.9,4598.13,3.8,0.05,1.25,0.0,0.0,303,0
7.4,1200.0,70.9,4596.0,3.8,0.01,1.46,0.0,0.0,303,0
7.9,1200.0,70.9,4593.92,3.8,0.01,0.84,0.0,0.0,303,0
7.4,1200.0,70.9,4593.27,3.8,0.0,1.21,0.0,0.0,303,0
8.2,1200.0,70.8,4607.27,3.8,0.0,0.94,0.0,0.0,303,0
7.6,1200.0,70.8,4607.99,3.8,0.03,1.18,0.0,0.0,302,0
7.8,1200.0,70.8,4608.22,3.8,0.0,1.5,0.0,0.0,302,0
7.6,1200.0,70.9,4605.16,3.8,0.0,1.21,0.0,0.0,302,0
7.8,1200.0,70.8,4607.96,3.8,0.0,1.01,0.0,0.0,302,0
7.9,1200.0,70.9,4605.89,3.8,0.0,1.2,0.0,0.0,302,0
20.0,1200.0,72.4,4369.0,3.8,6.48,1.12,0.01,0.05,311,0
44.6,1200.0,76.6,3699.55,3.8,18.83,22.53,0.06,0.95,328,0
31.7,1200.0,79.3,3273.79,3.8,63.9,4.95,0.02,0.4,337,0
28.6,1200.0,76.6,3698.82,3.8,12.91,3.24,0.01,0.01,326,0
18.3,1200.0,75.4,3882.0,3.8,2.2,2.28,0.01,0.0,317,0
17.9,1200.0,75.3,3911.67,3.8,1.92,1.63,0.01,0.05,317,0
15.6,1200.0,75.2,3914.34,3.8,2.0,2.16,0.0,0.0,316,0
16.8,1200.0,75.1,3929.76,3.8,1.96,2.15,0.0,0.0,316,0
14.8,1200.0,75.0,3945.58,3.8,1.94,1.44,0.0,0.0,315,0
15.3,1200.0,75.0,3947.08,3.8,1.88,1.66,0.0,0.0,315,0
14.9,1200.0,74.9,3961.38,3.8,1.86,1.97,0.0,0.0,315,0
15.1,1200.0,74.8,3985.71,3.8,1.9,1.5,0.0,0.0,311,0
15.0,1200.0,74.8,3979.54,3.8,2.04,1.72,0.0,0.01,311,0
16.4,1200.0,73.7,4153.57,3.8,2.58,1.7,0.0,0.0,308,0
14.5,1200.0,73.7,4159.91,3.8,1.86,1.55,0.0,0.0,308,0
14.8,1200.0,73.8,4145.86,3.8,1.98,1.58,0.0,0.0,308,0
14.3,1200.0,73.6,4166.11,3.8,2.04,1.92,0.0,0.0,308,0
14.7,1200.0,73.7,4159.11,3.8,2.06,1.56,0.0,0.0,308,0
13.7,1200.0,73.7,4157.62,3.8,1.99,1.7,0.0,0.0,307,0
16.2,1200.0,73.7,4158.76,3.8,1.83,1.76,0.0,0.0,307,0
14.3,1200.0,73.5,4185.24,3.8,1.98,1.9,0.0,0.0,307,0
16.8,1200.0,73.6,4177.35,3.8,1.77,1.21,0.01,0.31,307,0
15.1,1200.0,73.5,4181.41,3.8,1.99,2.02,0.0,0.0,307,0
14.8,1200.0,73.5,4189.48,3.8,2.16,2.46,0.0,0.0,307,0
14.9,1200.0,73.4,4196.98,3.8,1.93,1.7,0.0,0.0,307,0
14.5,1200.0,73.4,4200.73,3.8,2.05,2.22,0.0,0.0,307,0
14.4,1200.0,73.3,4215.3,3.8,2.01,1.56,0.0,0.0,307,0
14.6,1200.0,73.3,4217.16,3.8,2.16,2.37,0.0,0.0,307,0
15.0,1200.0,73.4,4211.81,3.8,2.02,1.81,0.0,0.0,307,0
14.7,1200.0,73.3,4217.5,3.8,2.07,1.58,0.0,0.0,307,0
14.7,1200.0,73.3,4218.82,3.8,1.82,1.99,0.0,0.0,307,0
16.9,1200.0,73.0,4270.21,3.8,2.26,2.0,0.0,0.0,307,0
18.1,1200.0,71.8,4464.63,3.8,1.95,3.5,0.0,0.0,307,0
14.1,1200.0,71.8,4463.94,3.8,1.88,1.7,0.0,0.0,307,0
15.0,1200.0,71.8,4458.77,3.8,1.95,1.81,0.0,0.02,307,0
18.4,1200.0,73.0,4263.41,3.8,2.21,1.98,0.01,0.03,307,0
16.2,1200.0,72.8,4298.79,3.8,1.92,1.8,0.0,0.03,307,0
18.8,1200.0,73.1,4259.09,3.8,2.12,2.07,0.01,0.07,307,0
18.6,1200.0,73.1,4257.94,3.8,1.74,1.51,0.0,0.0,307,0
18.0,1200.0,73.2,4243.12,3.8,1.57,1.68,0.01,0.29,307,0
19.1,1200.0,73.6,4171.7,3.8,1.97,1.7,0.02,0.46,307,0
16.7,1200.0,73.3,4212.84,3.8,1.78,1.73,0.01,0.24,307,0
19.4,1200.0,74.2,4073.82,3.8,2.72,1.76,0.01,0.17,305,0
18.8,1200.0,73.6,4180.47,3.8,2.21,1.78,0.01,0.12,305,0
19.2,1200.0,72.8,4292.76,3.8,1.93,1.65,0.0,0.12,305,0
18.2,1200.0,72.8,4299.16,3.8,1.65,1.8,0.0,0.05,305,0
25.8,1200.0,76.6,3702.24,3.8,1.97,2.05,0.04,0.42,305,0
18.8,1200.0,75.3,3897.66,3.8,1.94,2.14,0.01,0.05,305,0
24.2,1200.0,75.8,3829.92,3.8,1.85,12.42,0.01,0.39,305,0
21.3,1200.0,75.9,3805.03,3.8,1.44,1.75,0.01,0.28,305,0
20.9,1200.0,77.1,3613.49,3.8,1.82,1.46,0.02,0.83,305,0
18.3,1200.0,74.6,4009.94,3.8,1.68,1.63,0.0,0.0,305,0
15.9,1200.0,74.6,4008.24,3.8,2.03,1.76,0.01,0.34,305,0
17.5,1200.0,73.4,4199.05,3.8,1.88,1.92,0.0,0.32,305,0
20.5,1200.0,74.1,4095.55,3.8,8.49,1.33,0.0,0.2,305,0
19.4,1200.0,74.1,4088.56,3.8,5.78,2.66,0.0,0.22,307,0
14.3,1200.0,74.1,4100.13,3.8,1.89,1.74,0.0,0.23,307,0
18.0,1200.0,74.1,4086.59,3.8,1.82,1.26,0.0,0.0,307,0
15.0,1200.0,74.0,4115.76,3.8,1.9,1.69,0.0,0.01,305,0
16.0,1200.0,73.5,4181.01,3.8,1.89,1.85,0.0,0.06,305,0
16.0,1200.0,73.6,4164.84,3.8,1.79,1.34,0.0,0.0,305,0
14.8,1200.0,73.5,4180.78,3.8,2.16,2.06,0.0,0.13,305,0
14.9,1200.0,73.5,4180.73,3.8,1.95,1.9,0.0,0.26,305,0
16.0,1200.0,73.6,4178.77,3.8,1.88,1.63,0.0,0.12,305,0
18.9,1200.0,74.0,4109.42,3.8,1.91,1.86,0.0,0.3,305,0
21.2,1200.0,73.2,4234.27,3.8,2.69,11.33,0.0,0.0,305,0
13.0,1200.0,72.8,4298.93,3.8,2.16,1.7,0.0,0.01,301,0
8.2,1200.0,72.8,4300.98,3.8,0.01,0.81,0.0,0.0,301,0
8.9,1200.0,72.8,4297.73,3.8,0.0,1.23,0.0,0.0,301,0
8.7,1200.0,72.8,4298.73,3.8,0.01,1.2,0.0,0.0,301,0
8.7,1200.0,72.8,4301.72,3.8,0.9,0.63,0.0,0.25,301,0
8.2,1200.0,72.8,4299.4,3.8,0.0,1.34,0.01,0.42,301,0
8.1,1200.0,72.8,4298.16,3.8,0.02,0.87,0.0,0.37,301,0
9.2,1200.0,72.9,4275.44,3.8,0.35,1.1,0.0,0.0,301,0
10.5,1200.0,73.1,4258.82,3.8,0.07,0.95,0.0,0.25,301,0
12.0,1200.0,72.9,4277.37,3.8,0.02,1.25,0.0,0.0,301,0
